Question Type,No. of students attended the question,Time Taken ,Number of times MCQ option change,No. of Times compilation,No. of Hints used,Programming Language,Feedback,Correct,Wrong,Partially Correct,Maximum mark,Difficulty
0,3547512,845,5412,0,0,0,1,2965417,582095,0,63,MEDIUM
0,8754,475,2141,0,0,0,1,6241,2513,0,55,MEDIUM
0,369874,4123,14587,0,0,0,0,195871,174003,0,89,HARD
0,14752,854,4574,0,0,0,0,8596,6156,0,41,HARD
0,32471,98,541,0,0,0,2,28564,3907,0,31,EASY
0,95874,121,752,0,0,0,2,85214,10660,0,96,EASY
0,4123,985,2145,0,0,0,1,2123,2000,0,10,MEDIUM
0,512,874,1458,0,0,0,0,298,214,0,47,HARD
0,99,471,125,0,0,0,2,52,47,0,39,EASY
0,1475,546,1023,0,0,0,1,856,619,0,29,MEDIUM
0,6541,5874,6871,0,0,0,2,2589,3952,0,68,EASY
1,800,967,0,0,0,0,2,600,200,0,22,EASY
1,10000,2825,0,0,0,0,2,7500,2500,0,100,EASY
1,300,2643,0,0,0,0,1,225,75,0,16,MEDIUM
1,5000,2722,0,0,0,0,1,3750,1250,0,24,MEDIUM
1,789076,324,0,0,0,0,0,591807,197269,0,82,HARD
1,98765,858,0,0,0,0,1,74073.75,24691.25,0,57,MEDIUM
1,56789,2426,0,0,0,0,2,42591.75,14197.25,0,30,EASY
1,4321,156,0,0,0,0,1,3240.75,1080.25,0,56,MEDIUM
1,876544,431,0,0,0,0,1,657408,219136,0,82,MEDIUM
1,76543,4392,0,0,0,0,0,57407.25,19135.75,0,62,HARD
1,123456,4800,0,0,0,0,0,92592,30864,0,71,HARD
1,987654,4347,0,0,0,0,2,740740.5,246913.5,0,88,EASY
1,34525,2353,0,0,0,0,0,25893.75,8631.25,0,99,HARD
1,246890,1312,0,0,0,0,0,185167.5,61722.5,0,70,HARD
1,600,4302,0,0,0,0,0,450,150,0,44,HARD
1,162534,4705,0,0,0,0,0,121900.5,40633.5,0,65,HARD
1,7865432,4855,0,0,0,0,1,5899074,1966358,0,72,MEDIUM
1,1000000,2339,0,0,0,0,0,750000,250000,0,79,HARD
1,4000000,3111,0,0,0,0,2,3000000,1000000,0,34,EASY
1,987000,4618,0,0,0,0,1,740250,246750,0,57,MEDIUM
1,543200,3812,0,0,0,0,2,407400,135800,0,68,EASY
1,87965430,3102,0,0,0,0,1,65974072.5,21991357.5,0,96,MEDIUM
1,678543200,1998,0,0,0,0,1,508907400,169635800,0,68,MEDIUM
1,76543,2269,0,0,0,0,0,57407.25,19135.75,0,99,HARD
1,123456,318,0,0,0,0,2,92592,30864,0,79,EASY
1,987654,2778,0,0,0,0,2,740740.5,246913.5,0,94,EASY
1,34525,1649,0,0,0,0,2,25893.75,8631.25,0,98,EASY
1,246890,2162,0,0,0,0,0,185167.5,61722.5,0,18,HARD
1,600,2182,0,0,0,0,0,450,150,0,75,HARD
1,162534,2487,0,0,0,0,0,121900.5,40633.5,0,89,HARD
1,7865432,326,0,0,0,0,2,5899074,1966358,0,16,EASY
1,800,1907,0,0,0,0,2,600,200,0,99,EASY
1,10000,299,0,0,0,0,1,7500,2500,0,81,MEDIUM
1,300,2982,0,0,0,0,1,225,75,0,83,MEDIUM
1,5000,2278,0,0,0,0,1,3750,1250,0,89,MEDIUM
1,789076,2845,0,0,0,0,0,591807,197269,0,18,HARD
1,98765,4625,0,0,0,0,1,74073.75,24691.25,0,21,MEDIUM
1,56789,2144,0,0,0,0,0,42591.75,14197.25,0,14,HARD
1,4321,127,0,0,0,0,1,3240.75,1080.25,0,96,MEDIUM
1,876544,2097,0,0,0,0,1,657408,219136,0,99,MEDIUM
1,76543,3720,0,0,0,0,0,57407.25,19135.75,0,67,HARD
1,123456,1270,0,0,0,0,1,92592,30864,0,41,MEDIUM
1,987654,2956,0,0,0,0,2,740740.5,246913.5,0,91,EASY
1,34525,1579,0,0,0,0,0,25893.75,8631.25,0,18,HARD
1,546789,2341,0,0,0,0,0,410091.75,136697.25,0,66,HARD
1,34568900,3319,0,0,0,0,1,25926675,8642225,0,13,MEDIUM
1,30034000,1485,0,0,0,0,0,22525500,7508500,0,44,HARD
1,600700900,4696,0,0,0,0,1,450525675,150175225,0,96,MEDIUM
1,546009876,1486,0,0,0,0,2,409507407,136502469,0,60,EASY
1,34568900,2335,0,0,0,0,2,25926675,8642225,0,72,EASY
1,9876543,1895,0,0,0,0,0,7407407.25,2469135.75,0,31,HARD
1,56430000,4624,0,0,0,0,0,42322500,14107500,0,20,HARD
1,8760000,1529,0,0,0,0,1,6570000,2190000,0,11,MEDIUM
1,548902390,3467,0,0,0,0,0,411676792.5,137225597.5,0,77,HARD
1,789076,3354,0,0,0,0,0,591807,197269,0,53,HARD
1,98765,4146,0,0,0,0,2,74073.75,24691.25,0,98,EASY
1,56789,1781,0,0,0,0,1,42591.75,14197.25,0,66,MEDIUM
1,4321,2175,0,0,0,0,1,3240.75,1080.25,0,40,MEDIUM
1,876544,4976,0,0,0,0,2,657408,219136,0,18,EASY
1,76543,4176,0,0,0,0,2,57407.25,19135.75,0,73,EASY
1,123456,3672,0,0,0,0,2,92592,30864,0,20,EASY
1,987654,782,0,0,0,0,2,740740.5,246913.5,0,36,EASY
1,34525,2309,0,0,0,0,1,25893.75,8631.25,0,81,MEDIUM
1,246890,3280,0,0,0,0,1,185167.5,61722.5,0,36,MEDIUM
1,600,2966,0,0,0,0,2,450,150,0,44,EASY
1,4321,2946,0,0,0,0,0,3240.75,1080.25,0,82,HARD
1,876544,4563,0,0,0,0,1,657408,219136,0,95,MEDIUM
1,76543,3170,0,0,0,0,0,57407.25,19135.75,0,26,HARD
1,123456,2085,0,0,0,0,0,92592,30864,0,29,HARD
1,987654,1564,0,0,0,0,0,740740.5,246913.5,0,95,HARD
1,34525,2905,0,0,0,0,0,25893.75,8631.25,0,65,HARD
1,546789,2403,0,0,0,0,1,410091.75,136697.25,0,41,MEDIUM
1,34568900,682,0,0,0,0,1,25926675,8642225,0,42,MEDIUM
1,30034000,3796,0,0,0,0,0,22525500,7508500,0,35,HARD
1,600700900,3622,0,0,0,0,1,450525675,150175225,0,17,MEDIUM
1,789076,2782,0,0,0,0,2,591807,197269,0,85,EASY
1,98765,2801,0,0,0,0,1,74073.75,24691.25,0,55,MEDIUM
1,56789,569,0,0,0,0,1,42591.75,14197.25,0,25,MEDIUM
1,4321,3370,0,0,0,0,0,3240.75,1080.25,0,65,HARD
1,876544,4407,0,0,0,0,0,657408,219136,0,81,HARD
1,76543,2864,0,0,0,0,0,57407.25,19135.75,0,64,HARD
1,123456,4544,0,0,0,0,2,92592,30864,0,83,EASY
1,987654,1253,0,0,0,0,0,740740.5,246913.5,0,55,HARD
1,34525,4734,0,0,0,0,2,25893.75,8631.25,0,35,EASY
1,246890,2806,0,0,0,0,2,185167.5,61722.5,0,81,EASY
1,600,627,0,0,0,0,0,450,150,0,65,HARD
1,162534,3922,0,0,0,0,0,121900.5,40633.5,0,75,HARD
1,7865432,1512,0,0,0,0,0,5899074,1966358,0,100,HARD
1,591241,2835,0,0,0,0,1,443430.75,147810.25,0,93,MEDIUM
1,290912,838,0,0,0,0,0,218184,72728,0,63,HARD
1,740947,2236,0,0,0,0,1,555710.25,185236.75,0,49,MEDIUM
1,719150,850,0,0,0,0,0,539362.5,179787.5,0,59,HARD
1,179025,157,0,0,0,0,0,134268.75,44756.25,0,21,HARD
1,312639,584,0,0,0,0,0,234479.25,78159.75,0,96,HARD
1,609422,373,0,0,0,0,1,457066.5,152355.5,0,20,MEDIUM
1,233398,3807,0,0,0,0,2,175048.5,58349.5,0,80,EASY
1,199328,1815,0,0,0,0,1,149496,49832,0,66,MEDIUM
1,598318,4481,0,0,0,0,2,448738.5,149579.5,0,18,EASY
1,210544,3380,0,0,0,0,0,157908,52636,0,48,HARD
1,240348,3185,0,0,0,0,2,180261,60087,0,39,EASY
1,145203,1931,0,0,0,0,1,108902.25,36300.75,0,36,MEDIUM
1,594344,1973,0,0,0,0,2,445758,148586,0,54,EASY
1,35150,4973,0,0,0,0,1,26362.5,8787.5,0,18,MEDIUM
1,527101,4702,0,0,0,0,1,395325.75,131775.25,0,39,MEDIUM
1,218776,4044,0,0,0,0,1,164082,54694,0,37,MEDIUM
1,617915,4281,0,0,0,0,1,463436.25,154478.75,0,33,MEDIUM
1,678662,3282,0,0,0,0,1,508996.5,169665.5,0,39,MEDIUM
1,64343681,654,0,0,0,0,2,48257760.75,16085920.25,0,66,EASY
1,69775956,4950,0,0,0,0,0,52331967,17443989,0,98,HARD
1,28551917,3065,0,0,0,0,0,21413937.75,7137979.25,0,94,HARD
1,17064683,3401,0,0,0,0,0,12798512.25,4266170.75,0,88,HARD
1,74839228,907,0,0,0,0,1,56129421,18709807,0,36,MEDIUM
1,19444084,1819,0,0,0,0,1,14583063,4861021,0,18,MEDIUM
1,55093639,1801,0,0,0,0,2,41320229.25,13773409.75,0,83,EASY
1,43669385,4981,0,0,0,0,1,32752038.75,10917346.25,0,36,MEDIUM
1,21808373,637,0,0,0,0,0,16356279.75,5452093.25,0,23,HARD
1,10214675,228,0,0,0,0,0,7661006.25,2553668.75,0,97,HARD
1,9261640,1944,0,0,0,0,2,6946230,2315410,0,60,EASY
1,687313,3054,0,0,0,0,0,515484.75,171828.25,0,84,HARD
1,74841795,564,0,0,0,0,1,56131346.25,18710448.75,0,56,MEDIUM
1,68469099,1953,0,0,0,0,2,51351824.25,17117274.75,0,83,EASY
1,34891121,3663,0,0,0,0,1,26168340.75,8722780.25,0,98,MEDIUM
1,30849396,4517,0,0,0,0,1,23137047,7712349,0,14,MEDIUM
1,27008895,2936,0,0,0,0,1,20256671.25,6752223.75,0,79,MEDIUM
1,82985888,1915,0,0,0,0,2,62239416,20746472,0,72,EASY
1,37724455,4974,0,0,0,0,0,28293341.25,9431113.75,0,39,HARD
1,29620281,1449,0,0,0,0,0,22215210.75,7405070.25,0,23,HARD
1,14046286,3894,0,0,0,0,1,10534714.5,3511571.5,0,47,MEDIUM
1,59551415,1035,0,0,0,0,1,44663561.25,14887853.75,0,34,MEDIUM
1,49755142,1581,0,0,0,0,1,37316356.5,12438785.5,0,17,MEDIUM
1,87904787,3245,0,0,0,0,0,65928590.25,21976196.75,0,15,HARD
1,27537485,4051,0,0,0,0,2,20653113.75,6884371.25,0,61,EASY
1,31146374,4806,0,0,0,0,0,23359780.5,7786593.5,0,39,HARD
1,30065597,2215,0,0,0,0,2,22549197.75,7516399.25,0,43,EASY
1,18065606,4782,0,0,0,0,0,13549204.5,4516401.5,0,39,HARD
1,46698812,1275,0,0,0,0,2,35024109,11674703,0,41,EASY
1,76050508,2504,0,0,0,0,0,57037881,19012627,0,73,HARD
1,53001169,3696,0,0,0,0,0,39750876.75,13250292.25,0,59,HARD
1,62933610,3662,0,0,0,0,2,47200207.5,15733402.5,0,93,EASY
1,67389698,2790,0,0,0,0,1,50542273.5,16847424.5,0,78,MEDIUM
1,72617865,928,0,0,0,0,1,54463398.75,18154466.25,0,22,MEDIUM
1,76678018,4244,0,0,0,0,2,57508513.5,19169504.5,0,92,EASY
1,79800315,426,0,0,0,0,2,59850236.25,19950078.75,0,42,EASY
1,22067186,1771,0,0,0,0,0,16550389.5,5516796.5,0,24,HARD
1,87225869,4058,0,0,0,0,2,65419401.75,21806467.25,0,57,EASY
1,55698190,3267,0,0,0,0,2,41773642.5,13924547.5,0,23,EASY
1,71878944,4684,0,0,0,0,0,53909208,17969736,0,17,HARD
1,34411516,1352,0,0,0,0,0,25808637,8602879,0,34,HARD
1,3904617,391,0,0,0,0,2,2928462.75,976154.25,0,53,EASY
1,40935478,2250,0,0,0,0,2,30701608.5,10233869.5,0,82,EASY
1,23843136,4296,0,0,0,0,1,17882352,5960784,0,44,MEDIUM
1,12967672,197,0,0,0,0,2,9725754,3241918,0,82,EASY
1,52555188,2929,0,0,0,0,2,39416391,13138797,0,37,EASY
1,16757769,718,0,0,0,0,1,12568326.75,4189442.25,0,20,MEDIUM
1,12049064,1077,0,0,0,0,0,9036798,3012266,0,100,HARD
1,34624830,2579,0,0,0,0,0,25968622.5,8656207.5,0,80,HARD
1,45957233,711,0,0,0,0,0,34467924.75,11489308.25,0,10,HARD
1,85269069,3169,0,0,0,0,0,63951801.75,21317267.25,0,17,HARD
1,23899633,4121,0,0,0,0,0,17924724.75,5974908.25,0,82,HARD
1,57996596,4376,0,0,0,0,0,43497447,14499149,0,79,HARD
1,4640936,3342,0,0,0,0,0,3480702,1160234,0,33,HARD
1,38114423,2606,0,0,0,0,1,28585817.25,9528605.75,0,64,MEDIUM
1,41576612,3753,0,0,0,0,0,31182459,10394153,0,63,HARD
1,16627379,2342,0,0,0,0,1,12470534.25,4156844.75,0,71,MEDIUM
1,490946,2847,0,0,0,0,0,368209.5,122736.5,0,31,HARD
1,11638176,1209,0,0,0,0,1,8728632,2909544,0,34,MEDIUM
1,57614580,4045,0,0,0,0,2,43210935,14403645,0,39,EASY
1,324790,3437,0,0,0,0,1,243592.5,81197.5,0,66,MEDIUM
1,66463241,3005,0,0,0,0,0,49847430.75,16615810.25,0,88,HARD
1,1647234,3253,0,0,0,0,2,1235425.5,411808.5,0,92,EASY
1,62853090,4373,0,0,0,0,2,47139817.5,15713272.5,0,41,EASY
1,39829886,3125,0,0,0,0,0,29872414.5,9957471.5,0,62,HARD
1,25272402,1135,0,0,0,0,1,18954301.5,6318100.5,0,94,MEDIUM
1,68853298,4643,0,0,0,0,2,51639973.5,17213324.5,0,17,EASY
1,55508969,2781,0,0,0,0,2,41631726.75,13877242.25,0,50,EASY
1,48117478,1490,0,0,0,0,0,36088108.5,12029369.5,0,86,HARD
1,81217763,2475,0,0,0,0,2,60913322.25,20304440.75,0,94,EASY
1,53131354,167,0,0,0,0,2,39848515.5,13282838.5,0,99,EASY
1,88584528,2845,0,0,0,0,0,66438396,22146132,0,45,HARD
1,22632465,3352,0,0,0,0,0,16974348.75,5658116.25,0,27,HARD
1,60517890,861,0,0,0,0,1,45388417.5,15129472.5,0,71,MEDIUM
1,56089988,1016,0,0,0,0,2,42067491,14022497,0,21,EASY
1,29003708,4707,0,0,0,0,2,21752781,7250927,0,40,EASY
1,15354806,3738,0,0,0,0,0,11516104.5,3838701.5,0,20,HARD
1,75602202,3772,0,0,0,0,0,56701651.5,18900550.5,0,16,HARD
1,41264640,531,0,0,0,0,1,30948480,10316160,0,43,MEDIUM
1,67317852,4401,0,0,0,0,1,50488389,16829463,0,61,MEDIUM
1,88054627,1372,0,0,0,0,0,66040970.25,22013656.75,0,41,HARD
1,4104524,997,0,0,0,0,1,3078393,1026131,0,15,MEDIUM
1,31359843,3120,0,0,0,0,0,23519882.25,7839960.75,0,72,HARD
1,3254464,594,0,0,0,0,0,2440848,813616,0,46,HARD
1,80635469,1077,0,0,0,0,2,60476601.75,20158867.25,0,60,EASY
1,5183048,358,0,0,0,0,0,3887286,1295762,0,46,HARD
1,54226691,4204,0,0,0,0,0,40670018.25,13556672.75,0,23,HARD
1,76352018,2215,0,0,0,0,0,57264013.5,19088004.5,0,19,HARD
1,25115939,4750,0,0,0,0,1,18836954.25,6278984.75,0,79,MEDIUM
1,26898082,1253,0,0,0,0,2,20173561.5,6724520.5,0,61,EASY
1,17343948,466,0,0,0,0,1,13007961,4335987,0,34,MEDIUM
1,75083300,944,0,0,0,0,2,56312475,18770825,0,86,EASY
1,6239100,3889,0,0,0,0,2,4679325,1559775,0,12,EASY
1,37202804,3761,0,0,0,0,1,27902103,9300701,0,81,MEDIUM
1,44539016,1139,0,0,0,0,1,33404262,11134754,0,100,MEDIUM
1,41158681,404,0,0,0,0,1,30869010.75,10289670.25,0,85,MEDIUM
1,57847856,1518,0,0,0,0,0,43385892,14461964,0,75,HARD
1,9503900,1509,0,0,0,0,1,7127925,2375975,0,51,MEDIUM
1,16014314,116,0,0,0,0,1,12010735.5,4003578.5,0,95,MEDIUM
1,78429280,4815,0,0,0,0,1,58821960,19607320,0,37,MEDIUM
1,82502413,2553,0,0,0,0,2,61876809.75,20625603.25,0,42,EASY
1,39211571,4439,0,0,0,0,0,29408678.25,9802892.75,0,11,HARD
1,81279439,2963,0,0,0,0,2,60959579.25,20319859.75,0,25,EASY
1,85114064,3290,0,0,0,0,0,63835548,21278516,0,68,HARD
1,9151180,2711,0,0,0,0,1,6863385,2287795,0,21,MEDIUM
1,73217375,3074,0,0,0,0,1,54913031.25,18304343.75,0,57,MEDIUM
1,5334009,2654,0,0,0,0,1,4000506.75,1333502.25,0,87,MEDIUM
1,76492078,1669,0,0,0,0,1,57369058.5,19123019.5,0,18,MEDIUM
1,51173958,4058,0,0,0,0,0,38380468.5,12793489.5,0,80,HARD
1,42542573,2765,0,0,0,0,1,31906929.75,10635643.25,0,83,MEDIUM
1,54697047,1521,0,0,0,0,2,41022785.25,13674261.75,0,20,EASY
1,44637073,2362,0,0,0,0,0,33477804.75,11159268.25,0,63,HARD
1,1592259,2572,0,0,0,0,2,1194194.25,398064.75,0,44,EASY
1,19234435,4383,0,0,0,0,0,14425826.25,4808608.75,0,19,HARD
1,27366076,3202,0,0,0,0,1,20524557,6841519,0,45,MEDIUM
1,29122281,3832,0,0,0,0,0,21841710.75,7280570.25,0,69,HARD
1,45944566,3468,0,0,0,0,1,34458424.5,11486141.5,0,92,MEDIUM
1,51036105,4354,0,0,0,0,1,38277078.75,12759026.25,0,90,MEDIUM
1,22906588,2030,0,0,0,0,2,17179941,5726647,0,98,EASY
1,73769762,947,0,0,0,0,1,55327321.5,18442440.5,0,54,MEDIUM
1,12790066,4998,0,0,0,0,1,9592549.5,3197516.5,0,10,MEDIUM
1,39369041,3684,0,0,0,0,1,29526780.75,9842260.25,0,63,MEDIUM
1,81274566,4934,0,0,0,0,2,60955924.5,20318641.5,0,21,EASY
1,43335932,857,0,0,0,0,2,32501949,10833983,0,73,EASY
1,4197532,666,0,0,0,0,0,3148149,1049383,0,12,HARD
1,891742,1656,0,0,0,0,0,668806.5,222935.5,0,65,HARD
1,48513969,4396,0,0,0,0,1,36385476.75,12128492.25,0,90,MEDIUM
1,66437071,3089,0,0,0,0,1,49827803.25,16609267.75,0,84,MEDIUM
1,28743813,1021,0,0,0,0,2,21557859.75,7185953.25,0,11,EASY
1,11326919,3160,0,0,0,0,0,8495189.25,2831729.75,0,16,HARD
1,71339210,2526,0,0,0,0,2,53504407.5,17834802.5,0,97,EASY
1,7654421,4902,0,0,0,0,1,5740815.75,1913605.25,0,35,MEDIUM
1,22910243,1507,0,0,0,0,0,17182682.25,5727560.75,0,50,HARD
1,88735774,2524,0,0,0,0,2,66551830.5,22183943.5,0,76,EASY
1,30185652,548,0,0,0,0,0,22639239,7546413,0,95,HARD
1,67494162,2559,0,0,0,0,2,50620621.5,16873540.5,0,85,EASY
1,83229487,3912,0,0,0,0,1,62422115.25,20807371.75,0,31,MEDIUM
1,84207107,4404,0,0,0,0,1,63155330.25,21051776.75,0,92,MEDIUM
1,32044941,4537,0,0,0,0,2,24033705.75,8011235.25,0,73,EASY
1,8436354,1640,0,0,0,0,1,6327265.5,2109088.5,0,81,MEDIUM
1,59946270,3179,0,0,0,0,2,44959702.5,14986567.5,0,66,EASY
1,386089,3439,0,0,0,0,0,289566.75,96522.25,0,78,HARD
1,76164099,1609,0,0,0,0,1,57123074.25,19041024.75,0,49,MEDIUM
1,6587374,800,0,0,0,0,1,4940530.5,1646843.5,0,62,MEDIUM
1,86200690,3760,0,0,0,0,0,64650517.5,21550172.5,0,23,HARD
1,24312025,843,0,0,0,0,0,18234018.75,6078006.25,0,84,HARD
1,39287370,1955,0,0,0,0,1,29465527.5,9821842.5,0,80,MEDIUM
1,82201604,390,0,0,0,0,2,61651203,20550401,0,43,EASY
1,84036263,2350,0,0,0,0,2,63027197.25,21009065.75,0,96,EASY
1,49895971,1411,0,0,0,0,2,37421978.25,12473992.75,0,17,EASY
1,37791315,3906,0,0,0,0,2,28343486.25,9447828.75,0,61,EASY
1,56155155,2896,0,0,0,0,1,42116366.25,14038788.75,0,95,MEDIUM
1,10023824,3188,0,0,0,0,1,7517868,2505956,0,18,MEDIUM
1,67129473,1844,0,0,0,0,1,50347104.75,16782368.25,0,41,MEDIUM
1,28732939,2323,0,0,0,0,1,21549704.25,7183234.75,0,93,MEDIUM
1,59543812,966,0,0,0,0,0,44657859,14885953,0,23,HARD
1,67448432,1093,0,0,0,0,0,50586324,16862108,0,80,HARD
1,3206588,461,0,0,0,0,2,2404941,801647,0,23,EASY
1,66904473,2218,0,0,0,0,0,50178354.75,16726118.25,0,53,HARD
1,49234698,1439,0,0,0,0,2,36926023.5,12308674.5,0,67,EASY
1,85304889,107,0,0,0,0,1,63978666.75,21326222.25,0,94,MEDIUM
1,47778823,1310,0,0,0,0,2,35834117.25,11944705.75,0,98,EASY
1,1338876,4043,0,0,0,0,2,1004157,334719,0,37,EASY
1,63181366,4092,0,0,0,0,0,47386024.5,15795341.5,0,66,HARD
1,61727466,2815,0,0,0,0,1,46295599.5,15431866.5,0,100,MEDIUM
1,79498278,4521,0,0,0,0,0,59623708.5,19874569.5,0,16,HARD
1,30995688,576,0,0,0,0,0,23246766,7748922,0,59,HARD
1,87510158,1199,0,0,0,0,0,65632618.5,21877539.5,0,91,HARD
1,46844957,2394,0,0,0,0,2,35133717.75,11711239.25,0,37,EASY
1,74474528,1917,0,0,0,0,2,55855896,18618632,0,54,EASY
1,76952543,1698,0,0,0,0,0,57714407.25,19238135.75,0,74,HARD
1,13257369,4849,0,0,0,0,1,9943026.75,3314342.25,0,77,MEDIUM
1,74406975,4690,0,0,0,0,2,55805231.25,18601743.75,0,85,EASY
1,625290,2478,0,0,0,0,2,468967.5,156322.5,0,93,EASY
1,67988860,2110,0,0,0,0,1,50991645,16997215,0,44,MEDIUM
1,74929603,2545,0,0,0,0,2,56197202.25,18732400.75,0,86,EASY
1,88645415,4335,0,0,0,0,0,66484061.25,22161353.75,0,46,HARD
1,89065081,4173,0,0,0,0,2,66798810.75,22266270.25,0,22,EASY
1,66463545,4691,0,0,0,0,0,49847658.75,16615886.25,0,14,HARD
1,6225375,3181,0,0,0,0,1,4669031.25,1556343.75,0,96,MEDIUM
1,13828061,366,0,0,0,0,2,10371045.75,3457015.25,0,72,EASY
1,3156813,162,0,0,0,0,2,2367609.75,789203.25,0,50,EASY
1,77069476,922,0,0,0,0,2,57802107,19267369,0,86,EASY
1,32090511,1174,0,0,0,0,2,24067883.25,8022627.75,0,22,EASY
1,88799589,1022,0,0,0,0,1,66599691.75,22199897.25,0,54,MEDIUM
1,8329338,4112,0,0,0,0,2,6247003.5,2082334.5,0,12,EASY
1,832830,1022,0,0,0,0,1,624622.5,208207.5,0,73,MEDIUM
1,73899586,4966,0,0,0,0,1,55424689.5,18474896.5,0,73,MEDIUM
1,55580437,3995,0,0,0,0,1,41685327.75,13895109.25,0,59,MEDIUM
1,51759185,2778,0,0,0,0,2,38819388.75,12939796.25,0,47,EASY
1,47396288,1118,0,0,0,0,1,35547216,11849072,0,46,MEDIUM
1,75469595,2263,0,0,0,0,1,56602196.25,18867398.75,0,68,MEDIUM
1,40497463,2477,0,0,0,0,1,30373097.25,10124365.75,0,14,MEDIUM
1,31768646,558,0,0,0,0,0,23826484.5,7942161.5,0,72,HARD
1,43816761,1221,0,0,0,0,0,32862570.75,10954190.25,0,66,HARD
1,88244730,3001,0,0,0,0,0,66183547.5,22061182.5,0,30,HARD
1,81613033,122,0,0,0,0,0,61209774.75,20403258.25,0,37,HARD
1,24091907,108,0,0,0,0,1,18068930.25,6022976.75,0,92,MEDIUM
1,6996971,1624,0,0,0,0,0,5247728.25,1749242.75,0,100,HARD
1,57136074,3401,0,0,0,0,2,42852055.5,14284018.5,0,11,EASY
1,65880442,949,0,0,0,0,2,49410331.5,16470110.5,0,28,EASY
1,3663911,4670,0,0,0,0,0,2747933.25,915977.75,0,24,HARD
1,40928896,4603,0,0,0,0,1,30696672,10232224,0,93,MEDIUM
1,54420529,1220,0,0,0,0,2,40815396.75,13605132.25,0,100,EASY
1,48759493,4689,0,0,0,0,1,36569619.75,12189873.25,0,56,MEDIUM
1,23522771,547,0,0,0,0,0,17642078.25,5880692.75,0,73,HARD
1,53387847,3222,0,0,0,0,1,40040885.25,13346961.75,0,56,MEDIUM
1,65520514,340,0,0,0,0,1,49140385.5,16380128.5,0,44,MEDIUM
1,63447166,340,0,0,0,0,0,47585374.5,15861791.5,0,72,HARD
1,13719421,4396,0,0,0,0,1,10289565.75,3429855.25,0,73,MEDIUM
1,74061662,1045,0,0,0,0,1,55546246.5,18515415.5,0,38,MEDIUM
1,79480808,1026,0,0,0,0,2,59610606,19870202,0,75,EASY
1,52913439,1680,0,0,0,0,0,39685079.25,13228359.75,0,59,HARD
1,78904000,4433,0,0,0,0,2,59178000,19726000,0,63,EASY
1,58166969,338,0,0,0,0,1,43625226.75,14541742.25,0,78,MEDIUM
1,75027892,4790,0,0,0,0,0,56270919,18756973,0,70,HARD
1,34521640,3070,0,0,0,0,2,25891230,8630410,0,99,EASY
1,12111019,3018,0,0,0,0,2,9083264.25,3027754.75,0,71,EASY
